,Spot,Up,Down
8223,343.0,401.19,334.51
8224,349.209991,401.19,342.19
8225,355.690002,343.0,343.0
8226,345.0,349.21,349.21
8227,316.299988,355.69,125.0
8228,260.600006,345.0,133.5
8229,217.990005,316.3,133.5
8230,183.080002,239.9,239.9
8231,147.169998,214.72,214.72
8232,195.539993,160.06,160.06
8233,151.520004,144.0,128.85
8234,139.940002,132.29,132.29
8235,140.699997,130.06,130.06
8236,155.009995,127.02,127.02
8237,188.899994,127.75,127.75
8238,237.979996,130.8,130.8
8239,282.829987,169.31,169.31
8240,299.5,237.98,237.98
8241,290.809998,282.83,282.83
8242,282.779999,299.5,299.5
8243,266.48999,290.81,129.5
8244,250.789993,282.78,131.0
8245,245.100006,266.49,266.49
8246,242.850006,250.79,250.79
8247,254.610001,245.1,245.1
8248,274.76001,403.43,242.85
8249,300.040009,336.19,254.61
8250,297.350006,274.76,274.76
8251,265.410004,300.04,300.04
8252,254.570007,297.35,297.35
8253,228.919998,199.92,199.92
8254,231.479996,140.24,129.5
8255,209.179993,144.42,129.5
8256,221.110001,145.0,137.0
8257,213.529999,155.0,134.17
8258,208.029999,293.0,135.31
8259,206.600006,295.85,120.05
8260,201.600006,262.23,119.65
8261,206.699997,180.0,119.94
8262,220.070007,170.0,133.77
8263,243.899994,169.0,134.61
8264,266.619995,169.0,134.22
8265,290.600006,234.95,134.95
8266,284.070007,360.0,139.4
8267,287.079987,490.0,179.71
8268,285.470001,420.0,195.79
8269,247.419998,490.0,241.2
8270,235.300003,200.49,136.0
8271,247.070007,189.59,127.0
8272,263.730011,220.02,128.0
8273,281.589996,247.07,135.0
8274,274.190002,263.73,263.73
8275,223.259995,281.59,281.59
8276,218.039993,1200.0,261.51
8277,193.610001,355.02,202.47
8278,160.550003,275.41,179.91
8279,130.009995,176.43,176.43
8280,132.949997,136.36,136.36
8281,120.5,130.01,110.0
8282,114.169998,132.0,106.0
8283,109.919998,120.49,103.5
8284,106.980003,114.17,94.0
8285,105.900002,109.92,85.0
8286,105.940002,106.98,85.0
8287,108.269997,105.9,69.0
8288,118.360001,105.94,40.0
8289,133.550003,108.27,40.0
8290,170.809998,118.36,103.0
8291,200.080002,130.92,105.0
8292,200.080002,152.64,112.0
8293,191.130005,172.57,115.0
8294,204.570007,200.08,115.0
8295,231.080002,191.13,115.0
8296,253.330002,204.57,115.0
8297,282.0,231.08,128.5
8298,287.559998,253.33,133.0
8299,262.200012,282.0,133.0
8300,260.970001,287.56,131.0
8301,230.229996,250.81,131.0
8302,235.009995,180.05,133.0
8303,178.419998,199.94,128.5
8304,176.039993,136.42,128.5
8305,144.899994,134.53,123.5
8306,131.25,131.97,131.97
8307,127.650002,130.94,112.0
8308,134.199997,127.05,112.0
8309,145.869995,123.57,110.0
8310,269.200012,129.91,110.0
8311,306.079987,134.27,116.0
8312,317.200012,171.56,140.0
8313,325.190002,298.36,298.36
8314,319.0,299.96,299.96
8315,317.130005,303.36,131.5
8316,312.950012,299.94,131.5
8317,290.089996,268.0,134.48
8318,278.0,270.0,134.48
8319,299.950012,250.04,131.5
8320,299.980011,278.0,131.5
8321,345.23999,299.95,131.5
8322,260.079987,299.98,203.97
8323,260.019989,280.06,280.06
8324,133.0,255.8,138.0
8325,135.380005,136.4,135.9
8326,126.870003,131.66,131.66
8327,47.080002,131.45,131.45
8328,38.73,126.87,126.87
8329,36.02,47.08,47.08
8330,35.25,38.73,38.73
8331,35.299999,36.02,20.0
8332,36.740002,35.25,24.21
8333,109.839996,35.3,19.74
8334,137.720001,36.74,19.74
8335,217.929993,109.84,19.74
8336,299.98999,137.72,92.0
8337,309.25,217.93,131.5
8338,280.079987,299.99,131.5
8339,330.230011,299.95,131.5
8340,299.170013,280.08,131.5
8341,304.0,299.96,130.0
8342,312.529999,290.5,135.0
8343,351.649994,295.18,135.0
8344,372.25,303.47,127.5
8345,390.399994,351.65,123.0
8346,376.049988,370.88,120.0
8347,351.279999,348.92,120.0
8348,135.800003,255.84,119.0
8349,176.410004,142.22,115.0
8350,123.790001,135.8,108.0
8351,52.610001,135.33,105.5
8352,48.610001,175.0,123.79
8353,48.77,155.0,52.61
8354,16.610001,150.0,20.61
8355,14.98,104.0,19.12
8356,15.95,16.61,11.0
8357,23.07,14.98,4.0
8358,38.580002,15.95,4.0
8359,119.940002,153.0,5.0
8360,129.960007,130.53,38.58
8361,122.809998,119.94,119.94
8362,129.279999,129.96,129.96
8363,128.979996,122.81,122.81
8364,128.149994,129.28,120.0
8365,128.110001,128.98,115.0
8366,128.119995,128.15,114.0
8367,133.960007,128.11,113.5
8368,134.190002,128.12,76.0
8369,134.009995,133.96,115.0
8370,128.130005,134.19,115.0
8371,107.93,134.01,115.0
8372,38.889999,128.13,115.0
8373,21.700001,107.93,107.93
8374,19.83,38.89,13.68
8375,14.97,21.7,10.5
8376,15.08,19.83,7.91
8377,14.31,14.97,4.0
8378,14.02,15.08,-1.0
8379,14.96,14.31,-1.95
8380,16.91,14.02,-1.95
8381,19.959999,14.96,-1.95
8382,91.510002,16.91,-1.0
8383,224.139999,66.64,-1.0
8384,231.929993,180.07,2.0
8385,373.630005,226.32,2.0
8386,227.490005,174.91,20.0
8387,163.559998,150.81,20.0
8388,160.679993,195.6,20.0
8389,157.830002,186.02,13.5
8390,158.080002,137.65,12.0
8391,162.75,133.16,12.0
8392,171.440002,180.09,12.5
8393,195.5,176.28,15.0
8394,180.259995,166.47,12.5
8395,166.509995,180.09,10.9
8396,161.149994,180.26,10.9
8397,168.509995,144.69,12.0
8398,112.910004,128.65,13.5
8399,19.950001,119.02,10.5
8400,19.360001,102.93,10.5
8401,19.059999,19.95,10.5
8402,19.15,19.36,11.0
8403,18.790001,19.06,0.0
8404,21.1,19.15,0.0
8405,70.0,18.79,0.0
8406,242.119995,21.1,4.0
8407,225.039993,70.0,4.0
8408,379.940002,176.68,10.0
8409,311.299988,180.54,162.5
8410,256.339996,205.0,196.89
8411,255.059998,205.03,200.03
8412,200.860001,205.0,199.84
8413,197.679993,200.02,200.02
8414,204.020004,205.0,195.04
8415,244.929993,205.0,191.94
8416,280.220001,204.02,204.02
8417,274.019989,335.0,244.93
8418,275.350006,403.43,280.22
8419,225.029999,274.02,167.5
8420,195.0,208.78,167.5
8421,222.960007,186.42,170.0
